Approval Number,Trading Name,Address1,Address2,Address3,Town,Postcode,"Part A, Section III: Meat of farmed game","Part A, Section IV: Wild game meat","Part A, Section V: Minced meat, meat preparations and mechanically separated meat","Part A, Section VI: Meat products","Part A, Section VII: Live bivalve molluscs","Part A, Section VIII: Fishery products","Part A, Section IX: Raw milk and dairy products","Part A, Section X: Eggs and egg products","Part A, Section XI: Frog's legs and snails","Part A, Section XII: Rendered animal fats and greaves","Part A, Section XIII: Treated stomachs, bladders and intestines","Part A, Section XIV: Gelatine","Part A, Section XV: Collagen",Part A (All sections),Species,Remarks,CompetentAuthority,Country
1000,Zaheer Ahmed (T/A Ahmed Brothers Halal Poultry Products),Maple Court,Crystal Drive,,Smethwick,B66 1RB,,,,,,,,,,,,,,"Section: 0 (CS), Section: II (CP)",,,Food Standards Agency,England
1003,Kinda Food Ltd,Unit 13 Angerstein Business Park,12 Horn Lane,,London,SE10 0RT,,,MP (Meat Preparation Establishment),,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: V (MP)",,,Food Standards Agency,England
1004,Newby Foods Ltd,Head Office,Marylands,Newby Wiske,Northallerton,DL7 9ER,,,"MP (Meat Preparation Establishment), MM (Mince Meat Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: V (MP), Section: VI (PP), Section: V (MM)",,,Food Standards Agency,England
1005,Banner Foods (Bromsgrove) Limited,6 - 12 Finstall Road,,Astonfields,Bromsgrove,B60 2DZ,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
1006,Aubrey Allen Limited,Unit 1,Siskin Parkway East,Middlemarch Business Park,Coventry,CV3 4AD,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP), Section: VI (PP), Section: IX (PP)",,Meat Products,Food Standards Agency,England
1007,Frank Bird (Poultry) Ltd,Underlyne,Langwathby,,Penrith,CA10 1NB,,,,,,,,,,,,,,"Section: 0 (CS), Section: II (CP), Section: II (SH)",Poultry,,Food Standards Agency,England
1008,K D Catering Butchers Ltd,Baytree Farm,Bay Tree Lane,Sayerland,Polegate,BN26 6QN,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
1009,Karaca's Meat Ltd,Unit 3 Beeching Park Industrial Estate,Wainwright Road,,Bexhill-on-Sea,TN39 3UR,,,MP (Meat Preparation Establishment),,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: V (MP)",,,Food Standards Agency,England
1011,A. H. Conisbee & Co Limited,Aberdeen House,High Street,Ripley,Woking,GU23 6AQ,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM)",,,Food Standards Agency,England
1012,CSP (Food Services) Limited,52 Farringdon Street,,,London,EC4A 4BD,,,MM (Mince Meat Establishment),,,PP (Processing Plant),,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: VIII (PP)",,,Food Standards Agency,England
1014,Trendy Foods Ltd,Unit 8,Rosebery Avenue,,London,N17 9SR,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM)",,,Food Standards Agency,England
1017,R.S. Ashby Ltd,Unit 37,22 Crimscott Street,Southwark,London,SE1 5TE,,,MM (Mince Meat Establishment),PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: VI (PP)",,,Food Standards Agency,England
1018,Gunne Butchers UK Ltd,Units 4 - 7,Beeching Park Industrial Estate,Wainwright Road,Bexhill-on-Sea,TN39 3UR,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
1019,Fairfax Meadow Europe Limited ,Kentish Town Industrial Estate,Regis Road,,London,NW5 3EZ,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment), MPLTTC (Meat Preparation (LTTC)), MMLTTC (Mince Meat (LTTC))",,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP), Section: V (MPLTTC), Section: V (MMLTTC)",,,Food Standards Agency,England
1023,Kevin McAdam (T/A Kevin McAdam Catering Butchers),Martock Business Park,Great Western Road,,Martock,TA12 6HB,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2105,O'BRIEN WHOLESALE BUTCHER,Unit 7 Craven Nursery Park,Snaygill Industrial Estate,,Skipton,BD23 2QR,,,,,,,,,,,,,,Section: I (CP),,,Food Standards Agency,England
2108,Blackbrow Abattoir Ltd,Black Brow,Wiggonby,,Wigton,CA7 0JT,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: I (SH), Section: V (MM), Section: V (MP)","Bovine, Caprine, Ovine, Porcine",,Food Standards Agency,England
2110,Osborne Poultry Products,Unit 4,Colebrook Road,,Birmingham,B11 2NT,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: II (CP), Section: V (MM), Section: V (MP), Section: 0 (CS)",,,Food Standards Agency,England
2111,Price & Fretwell Ltd,Primwell Court,Sawpit Lane,Tibshelf,Alfreton,DE55 5NH,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2113,JC Rook & Sons Factory and Food Services,Cecilia Road,,,Ramsgate,CT11 7DZ,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2118,Grove Foods Ltd,Unit 14,142 Johnson Street,,Southall,UB2 5FD,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2119,Umutet Limited,Unit 6,61 Sutherland Road,,London,E17 6BH,,,,,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP)",,,Food Standards Agency,England
2122,BOWERS BEEF,Foot of the Folly,School Barn Lane,Pentlow,Sudbury,CO10 7JN,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: I (CP), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2124,Pera Foods Ltd,11 Wharf Road,,,Enfield,EN3 4TA,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2125,Barbican Supplies Ltd,26-30 Bernard Road,,,London,N15 4NE,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2132,Woolley Bros.(North East) Limited,The Old Abattoir,Stephens Terrace,Wheatley Hill,Durham,DH6 3NQ,,,,,,,,,,,,,,"Section: 0 (CS), Section: I (CP)",,,Food Standards Agency,England
2138,West Scottish Lamb Ltd,The Abattoir,Brunthill Road,Kingstown Industrial Estate,Carlisle,CA3 0EH,,,,PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: I (SH), Section: VI (PP)","Bovine, Ovine",,Food Standards Agency,England
2139,H C Airey & Sons Ltd,The Abattoir,Snowdrop Villa,Ayside,Grange over Sands,LA11 6JE,,,MP (Meat Preparation Establishment),,,,,,,,,,,"Section: I (CP), Section: I (SH), Section: V (MP)","Bovine, Caprine, Ovine, Porcine",,Food Standards Agency,England
2141,ABP YORK,Murton Abattoir,Murton Lane,Murton,York,YO19 5GH,,,,,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: I (SH)",Bovine,,Food Standards Agency,England
2143,W A FOODS,5 Pomona Road,,,Shanklin,PO37 6PF,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2144,Island Foods Limited,Units 6 & 8,Cothey Way,,Ryde,PO33 1QY,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2147, J A Mounfield & Son Ltd,White House,Bubwith,,Selby,YO8 6LS,,,,,,,,,,,,,,Section: I (SH),"Bovine, Caprine, Ovine, Porcine",,Food Standards Agency,England
2150,Kernow Sausage Company Limited,Newquay Road,,,St Columb Road,TR9 6PZ,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2155,Andrews of Cambridge,Unit 1 The Brickyards Industrial Estate,Coldhams Road,,Cambridge,CB1 3EW,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2161,J A Jewitt (Meat) Ltd,Low House,Middlestone Moor,Spennymoor,Durham,DL16 7QD,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: I (SH), Section: V (MM)","Bovine, Caprine, Ovine, Porcine",,Food Standards Agency,England
2163,PETER BODDY LICENSED SLAUGHTERERS AND GAME DEALERS,East Hey Head Farm,Cross Stone Road,,Todmorden,OL14 8RE,"CP (Cutting Plant), SH (Slaughterhouse)",GHE (Game Handling Establishment),,,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: I (SH), Section: III (CP), Section: III (SH), Section: IV (GHE)","Bovine, Caprine, Ovine, Porcine, Solipeds, Farmed Land Mammals other than Domestic Ungulates",,Food Standards Agency,England
2166,Block and Cleaver Limited,Unit 4M,Button Street Business Park,Button Street,Swanley,BR8 8DX,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2167,Rother Valley Meats Limited,Unit 7 Shire Court,Brook Park,Shirebrook,Mansfield,NG20 8RU,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2168,G & A DENNEY,Johnscales Farm,,,Lyth,LA8 8DG,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: I (CP), Section: I (SH), Section: V (MP), Section: VI (PP)","Bovine, Caprine, Ovine, Porcine",,Food Standards Agency,England
2169,CR HORNER,,,,York,,,,,,,,,,,,,,,Section: I (SH),"Bovine, Ovine, Porcine",,Food Standards Agency,England
2171,A Traves & Son Ltd,Meat Wholesalers,Main Street,,Escrick,YO19 6TP,,,,,,,,,,,,,,"Section: I (CP), Section: I (SH)","Bovine, Caprine, Ovine, Porcine",,Food Standards Agency,England
2172,Foyle Gloucester,Forest Vale Industrial Estate,Forest Vale Road,,Cinderford,GL14 2PH,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,PP (Processing Plant),,,"Section: 0 (CS), Section: I (CP), Section: I (SH), Section: V (MP), Section: VI (PP), Section: XIII (PP)",Bovine,"Treated stomachs, bladders and intestines",Food Standards Agency,England
2174,Rapyal Meat & Poultry Ltd,4b Talbot Way,,Small Heath,Birmingham,B10 0HJ,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2175,Richard of Howden Ltd,The Abattoir,Bridge Street,,Goole,DN14 5SR,,,,,,,,,,,,,,"Section: I (CP), Section: I (SH)","Bovine, Caprine, Ovine, Porcine",,Food Standards Agency,England
2176,Crawshaw Butchers Limited,Unit 4,Sandbeck Way,Hellaby Industrial Estate,Hellaby,S66 8QL,,,"MP (Meat Preparation Establishment), MM (Mince Meat Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MP), Section: VI (PP), Section: V (MM)",,,Food Standards Agency,England
2178,T H Motson and Sons Ltd,Rear of Abattoir,Chappell Drive,,Doncaster,DN1 2RF,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM)",,,Food Standards Agency,England
2179,H GOWERS,Unit 8 Enterprise Park,Worthing Road,,Sheffield,S9 3JL,,,,,,,,,,,,,,"Section: 0 (CS), Section: I (CP)",,,Food Standards Agency,England
2181,WEST LANCS BUTCHERS LTD,Unit 2,Holland Business Park,Spa Lane,Lathom,L40 6LN,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2184,Yorkshire Premier Meat,Unit 56,South Kirkby,,Pontefract,WF9 3NR,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2186,MOO MOO,Rowan House,Whitehill Industrial Estate,,Stockport,SK5 7LW,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,PP (Processing Plant),PP (Processing Plant),,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: IV (CP), Section: IX (PP), Section: V (MM), Section: V (MP), Section: VI (PP), Section: VIII (PP)",,,Food Standards Agency,England
2188,ROBINSONS BUTCHERS,13 Front Street,,Wingate,Durham,TS28 5AA,,,,,,,,,,,,,,Section: I (SH),"Bovine, Ovine",,Food Standards Agency,England
2189,The Quality Meat Company Limited,6 Chertsey Road,,,Windlesham,GU20 6ET,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2190,London Poultry,65 Sutherland Road,,,London,E17 6BH,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: 0 (CS), Section: II (CP), Section: I (CP), Section: V (MM)",,,Food Standards Agency,England
2191,Premium Poultry Products Limited,Fishermans Wharf,Nile Street,,Bolton,BL3 6BW,,,,,,,,,,,,,,"Section: II (CP), Section: 0 (CS)",,,Food Standards Agency,England
2254,GAMSTON  WOOD OSTRICHES,Gamston Wood Farm,Upton,,Retford,DN22 0RB,"CP (Cutting Plant), SH (Slaughterhouse)",CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: III (CP), Section: III (SH), Section: IV (CP), Section: V (MM), Section: V (MP)",Ratite ,,Food Standards Agency,England
2256,HV GRAVES,24 Gladstone Place,,,Briston,NR24 2LE,,GHE (Game Handling Establishment),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: IV (GHE), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2257,Weddel Swift Distribution Ltd,52-64 English Street,,,Hull,HU3 2DT,,,,,,,,,,,,,,"Section: 0 (CS), Section: I (CP)",,,Food Standards Agency,England
2261,J. W. Young (Butchers) Ltd,10 Baker Street,,Attercliffe,Sheffield,S9 3WG,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2468,Doric Game Ltd,Springwell Works,,,Leeds,LS7 2DF,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2469,Ralph Pearson,Unit 1,Linton Street,Off Bolling Road,Bradford,BD4 7EZ,,,,,,,,,,,,,,Section: I (CP),,,Food Standards Agency,England
2470,OX CLOSE TRADITIONAL FINE FOODS,Ox Close Farm,North Deighton,,Wetherby,LS22 5HW,,GHE (Game Handling Establishment),MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: 0 (RW), Section: IV (GHE), Section: V (MP), Section: VI (PP)","Wild Birds, Wild Lagomorphs",,Food Standards Agency,England
2471,R & J YORKSHIRE'S FINEST,Wateredge,Longswales Lane,Kirkby Malzeard,Ripon,HG4 3RJ,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2473,Pakeezah Meat Suppliers Ltd,91 Edderthorpe Street,,,Bradford,BD3 9UD,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: V (MM)",,,Food Standards Agency,England
2474,PFD (Carlisle) Ltd,3a Follingsby Park,Follingsby Avenue,,Gateshead,NE10 8YF,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2475,FREEMAN CATERING BUTCHERS,353a Dukesway Court,Team Valley Trading Estate,,Gateshead,NE11 0BH,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2477,LANGTHORNE'S BUFFALO PRODUCE,Crawford Grange,Brompton,,Northallerton,DL6 2PD,"CP (Cutting Plant), SH (Slaughterhouse)",,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: I (SH), Section: III (CP), Section: III (SH), Section: V (MM), Section: V (MP), Section: VI (PP)","Bovine, Caprine, Ovine, Porcine, Ratite , Farmed Land Mammals other than Domestic Ungulates",,Food Standards Agency,England
2478,GILLAMS BUTCHERS,"Unit 7, Moorfield Industrial Estate",Moorfield Road,Yeadon,Leeds,LS19 7BN,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2481,Russell Hume Ltd,The Old Goods Yard,,,Boroughbridge,YO51 9BL,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2483,R P J MEAT WHOLESALE LTD ,"Unit 7, Ripley Road Industrial Estate",Ripley Road,,Bradford,BD4 7EX,,,,,,,,,,,,,,"Section: 0 (CS), Section: I (CP)",,,Food Standards Agency,England
2484,Warren Butterworth Catering Butchers Ltd,Unit 5,Westway Industrial Park,Throckley,Newcastle-upon-tyne,NE15 9HW,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2486,S L G Wholesale Meats Ltd,Unit 9,Penraevons Industrial Estate,Meanwood Road,Leeds,LS7 2AW,,,,,,,,,,,,,,Section: I (CP),,,Food Standards Agency,England
2487,Best Meat (UK) Ltd,Unit C11,Waleswood Industrial Estate,"Waleswood Road, Kiveton Park",Sheffield,S26 5PY,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: 0 (CS)",,,Food Standards Agency,England
2488,J W Young (Butchers) Ltd,10 Baker Street,Attercliffe,,Sheffield,S9 3WG,,,MM (Mince Meat Establishment),PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: VI (PP)",,,Food Standards Agency,England
2489,Sykes House Farm Ltd,Walton Road,,,Wetherby,LS23 7DR,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Food Standards Agency,England
2490,B S Meats,9-Nov,Labtec Street,Pendlebury,Swinton,M27 8SE,,,,,,,,,,,,,,"Section: 0 (CS), Section: I (CP)",,,Food Standards Agency,England
2491,Country Harvest Frozen Foods Ltd,Sutherland House,Cleveland Trading Estate,,Darlington,DL1 2PB,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (RW), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP), Section: VI (PP), Section: 0 (CS)",,,Food Standards Agency,England
2494,Thompsons Food Service Ltd,26-28 Southgates Road,,,Great Yarmouth,NR30 3LL,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: IV (CP), Section: IX (PP), Section: V (MM), Section: V (MP), Section: VI (PP)",,Meat Products,Food Standards Agency,England
2495,Imperial Fast Food Distribution Ltd,Unit 13,Hainult Road,Leytonstone,London,E11 1HD,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: II (CP), Section: V (MM), Section: V (MP)",,,Food Standards Agency,England
2496,KHT (UK) Ltd,Unit 110,Havelock Terrace,Battersea,London,SW8 4AS,,,,,,,,,,,,,,"Section: 0 (CS), Section: I (CP)",,,Food Standards Agency,England
